// Compost colors for cataclysm. You may add your own colors, change existing ones, or remove colors that aren't needed.
abyss_eye, #c9b2e3
abyssal_sacrifice, #7f26ff
amethyst_crab_meat, #b1a8be
amethyst_crab_shell, #a097a1
ancient_metal_ingot, #edab5e
ancient_metal_nugget, #f0ae64
athame, #fff1ac
blazing_bone, #9e7654
blessed_amethyst_crab_meat, #b1a8be
bloom_stone_pauldrons, #98988d
bone_reptile_chestplate, #ab8e78
bone_reptile_helmet, #c2a17a
burning_ashes, #b2803a
chain_of_soul_binding, #ebe0f0
crystallized_coral, #f7ebf4
crystallized_coral_fragments, #7f7f90
desert_eye, #fcaf6b
dying_ember, #795733
enderite_ingot, #dcc3e0
final_fractal, #ffffff
flame_eye, #fffffe
ignitium_boots, #ffffff
ignitium_chestplate, #eec5a4
ignitium_elytra_chestplate, #c56530
ignitium_helmet, #fff1d2
ignitium_ingot, #ffe6b9
ignitium_leggings, #ffffff
ignitium_upgrade_smithing_template, #a25c3d
khopesh, #cda06c
koboleton_bone, #947a64
lionfish, #7db6c9
lionfish_spike, #ffffff
mech_eye, #f4d6d4
modern_remnant_bucket, #b1a79e
monstrous_eye, #e4d0c3
monstrous_helm, #f4edeb
monstrous_horn, #ffffff
music_disc_ancient_remnant, #fed9a7
music_disc_ender_guardian, #ffffff
music_disc_ignis, #b2eb9b
music_disc_netherite_monstrosity, #ffebe1
music_disc_the_harbinger, #975754
music_disc_the_leviathan, #7a44c5
necklace_of_the_desert, #f4a857
pointed_icicle, #f4ffff
remnant_skull, #9b8372
sandstorm_in_a_bottle, #f8ffff
sticky_gloves, #8dd984
the_baby_leviathan_bucket, #836bac
void_core, #ffc6de
void_eye, #fffcff
void_jaw, #ffffff
void_scatter_arrow, #ffffff
void_shard, #ffffff
witherite_ingot, #826b73
zweiender, #ffffff
